YYYY,DOY,HR,MN,SYMH
2018,213,14,50,8
2018,213,14,51,8
2018,213,14,52,7
2018,213,14,53,8
2018,213,14,54,7
2018,213,14,55,7
2018,213,14,56,8
2018,213,14,57,8
2018,213,14,58,8
2018,213,14,59,7
2018,213,15,0,7
2018,213,15,1,7
2018,213,15,2,7
2018,213,15,3,8
2018,213,15,4,8
2018,213,15,5,9
2018,213,15,6,9
2018,213,15,7,9
2018,213,15,8,9
2018,213,15,9,9
2018,213,15,10,9
2018,213,15,11,10
2018,213,15,12,10
2018,213,15,13,10
2018,213,15,14,10
2018,213,15,15,10
2018,213,15,16,10
2018,213,15,17,10
2018,213,15,18,10
2018,213,15,19,10
2018,213,15,20,10
2018,213,15,21,10
2018,213,15,22,10
2018,213,15,23,10
2018,213,15,24,10
2018,213,15,25,10
2018,213,15,26,10
2018,213,15,27,10
2018,213,15,28,10
2018,213,15,29,10
2018,213,15,30,10
2018,213,15,31,10
2018,213,15,32,10
2018,213,15,33,10
2018,213,15,34,10
2018,213,15,35,11
2018,213,15,36,12
2018,213,15,37,11
2018,213,15,38,12
2018,213,15,39,13
2018,213,15,40,13
2018,213,15,41,13
2018,213,15,42,13
2018,213,15,43,13
2018,213,15,44,13
2018,213,15,45,13
2018,213,15,46,13
2018,213,15,47,13
2018,213,15,48,13
2018,213,15,49,13
2018,213,15,50,13
2018,213,15,51,13
2018,213,15,52,13
2018,213,15,53,13
2018,213,15,54,13
2018,213,15,55,13
2018,213,15,56,13
2018,213,15,57,13
2018,213,15,58,13
2018,213,15,59,13
2018,213,16,0,12
2018,213,16,1,12
2018,213,16,2,11
2018,213,16,3,11
2018,213,16,4,11
2018,213,16,5,11
2018,213,16,6,11
2018,213,16,7,11
2018,213,16,8,11
2018,213,16,9,11
2018,213,16,10,12
2018,213,16,11,12
2018,213,16,12,13
2018,213,16,13,13
2018,213,16,14,13
2018,213,16,15,13
2018,213,16,16,13
2018,213,16,17,14
2018,213,16,18,15
2018,213,16,19,15
2018,213,16,20,15
2018,213,16,21,16
2018,213,16,22,16
2018,213,16,23,16
2018,213,16,24,17
2018,213,16,25,16
2018,213,16,26,17
2018,213,16,27,16
2018,213,16,28,16
2018,213,16,29,16
2018,213,16,30,16
2018,213,16,31,16
2018,213,16,32,15
2018,213,16,33,16
2018,213,16,34,16
2018,213,16,35,16
2018,213,16,36,16
2018,213,16,37,16
2018,213,16,38,15
2018,213,16,39,16
2018,213,16,40,16
2018,213,16,41,16
2018,213,16,42,16
2018,213,16,43,17
2018,213,16,44,17
2018,213,16,45,18
2018,213,16,46,18
2018,213,16,47,18
2018,213,16,48,18
2018,213,16,49,19
2018,213,16,50,19
2018,213,16,51,19
2018,213,16,52,19
2018,213,16,53,19
2018,213,16,54,19
2018,213,16,55,19
2018,213,16,56,19
2018,213,16,57,19
2018,213,16,58,18
2018,213,16,59,18
2018,213,17,0,18
2018,213,17,1,18
2018,213,17,2,18
2018,213,17,3,19
2018,213,17,4,19
2018,213,17,5,19
2018,213,17,6,19
2018,213,17,7,18
2018,213,17,8,18
2018,213,17,9,18
2018,213,17,10,18
2018,213,17,11,18
2018,213,17,12,18
2018,213,17,13,18
2018,213,17,14,19
2018,213,17,15,19
2018,213,17,16,19
2018,213,17,17,19
2018,213,17,18,19
2018,213,17,19,21
2018,213,17,20,21
2018,213,17,21,22
2018,213,17,22,22
2018,213,17,23,22
2018,213,17,24,22
2018,213,17,25,22
2018,213,17,26,21
2018,213,17,27,21
2018,213,17,28,21
2018,213,17,29,20
2018,213,17,30,20
2018,213,17,31,19
2018,213,17,32,19
2018,213,17,33,20
2018,213,17,34,20
2018,213,17,35,21
2018,213,17,36,22
2018,213,17,37,23
2018,213,17,38,23
2018,213,17,39,24
2018,213,17,40,24
2018,213,17,41,24
2018,213,17,42,23
2018,213,17,43,22
2018,213,17,44,21
2018,213,17,45,20
2018,213,17,46,19
2018,213,17,47,18
2018,213,17,48,17
2018,213,17,49,17
2018,213,17,50,16
2018,213,17,51,16
2018,213,17,52,16
2018,213,17,53,16
2018,213,17,54,16
2018,213,17,55,17
2018,213,17,56,17
2018,213,17,57,18
2018,213,17,58,19
2018,213,17,59,19
2018,213,18,0,19
2018,213,18,1,19
2018,213,18,2,19
2018,213,18,3,19
2018,213,18,4,19
2018,213,18,5,19
2018,213,18,6,19
2018,213,18,7,20
2018,213,18,8,20
2018,213,18,9,20
2018,213,18,10,20
2018,213,18,11,20
2018,213,18,12,20
2018,213,18,13,20
2018,213,18,14,19
2018,213,18,15,19
2018,213,18,16,18
2018,213,18,17,18
2018,213,18,18,18
2018,213,18,19,17
2018,213,18,20,17
2018,213,18,21,17
2018,213,18,22,17
2018,213,18,23,17
2018,213,18,24,17
2018,213,18,25,17
2018,213,18,26,17
2018,213,18,27,17
2018,213,18,28,17
2018,213,18,29,17
2018,213,18,30,17
2018,213,18,31,17
2018,213,18,32,17
2018,213,18,33,17
2018,213,18,34,17
2018,213,18,35,16
2018,213,18,36,17
2018,213,18,37,16
2018,213,18,38,16
2018,213,18,39,15
2018,213,18,40,15
2018,213,18,41,15
2018,213,18,42,15
2018,213,18,43,15
2018,213,18,44,15
2018,213,18,45,15
2018,213,18,46,15
2018,213,18,47,15
2018,213,18,48,15
2018,213,18,49,15
2018,213,18,50,15
2018,213,18,51,15
2018,213,18,52,15
2018,213,18,53,15
2018,213,18,54,15
2018,213,18,55,15
2018,213,18,56,15
2018,213,18,57,15
2018,213,18,58,14
2018,213,18,59,14
2018,213,19,0,14
2018,213,19,1,14
2018,213,19,2,14
2018,213,19,3,14
2018,213,19,4,14
2018,213,19,5,14
2018,213,19,6,13
2018,213,19,7,13
2018,213,19,8,13
2018,213,19,9,12
2018,213,19,10,13
2018,213,19,11,13
2018,213,19,12,13
2018,213,19,13,13
2018,213,19,14,13
2018,213,19,15,13
2018,213,19,16,13
2018,213,19,17,13
2018,213,19,18,13
2018,213,19,19,13
2018,213,19,20,13
2018,213,19,21,13
2018,213,19,22,13
2018,213,19,23,13
2018,213,19,24,13
2018,213,19,25,13
2018,213,19,26,13
2018,213,19,27,13
2018,213,19,28,13
2018,213,19,29,13
2018,213,19,30,14
2018,213,19,31,14
2018,213,19,32,14
2018,213,19,33,14
2018,213,19,34,14
2018,213,19,35,15
2018,213,19,36,15
2018,213,19,37,15
2018,213,19,38,15
2018,213,19,39,15
2018,213,19,40,15
2018,213,19,41,14
2018,213,19,42,13
2018,213,19,43,13
2018,213,19,44,14
2018,213,19,45,15
2018,213,19,46,16
2018,213,19,47,16
2018,213,19,48,16
2018,213,19,49,16
2018,213,19,50,16
2018,213,19,51,15
2018,213,19,52,16
2018,213,19,53,16
2018,213,19,54,16
2018,213,19,55,16
2018,213,19,56,16
2018,213,19,57,15
2018,213,19,58,15
2018,213,19,59,15
2018,213,20,0,15
2018,213,20,1,14
2018,213,20,2,14
2018,213,20,3,14
2018,213,20,4,14
2018,213,20,5,14
2018,213,20,6,13
2018,213,20,7,13
2018,213,20,8,12
2018,213,20,9,12
2018,213,20,10,11
2018,213,20,11,11
2018,213,20,12,11
2018,213,20,13,10
2018,213,20,14,10
2018,213,20,15,10
2018,213,20,16,10
2018,213,20,17,9
2018,213,20,18,8
2018,213,20,19,8
2018,213,20,20,7
2018,213,20,21,7
2018,213,20,22,6
2018,213,20,23,6
2018,213,20,24,5
2018,213,20,25,5
2018,213,20,26,5
2018,213,20,27,5
